month,year,congressional_voting_district,una,dem,rep,cnv,con,gre,lib,nat,rfp,ssp,total
september,2019,3,"213,578","163,484","152,897",893,"1,414",121,"1,249",517,"1,182",558,"535,893"
september,2019,4,"227,238","139,093","160,728",869,"1,293",137,"1,105",505,"1,178",514,"532,660"
september,2019,5,"216,506","161,741","156,176",826,"1,310",98,924,396,"1,025",372,"539,374"
september,2019,6,"194,416","189,054","77,561",881,"1,275",167,"1,488",585,"1,256",633,"467,316"
september,2019,7,"215,305","164,500","168,077",741,"1,375",81,936,313,857,330,"552,515"
september,2019,8,"142,656","219,169","37,305",730,"1,114",182,"1,260",475,"1,060",578,"404,529"
september,2019,9,"183,580","200,164","66,741",857,"1,214",200,"1,235",571,"1,475",616,"456,653"
september,2019,10,"166,349","279,405","27,191",781,839,195,"1,463",576,"1,097",593,"478,489"
september,2019,11,"214,117","171,462","174,552",718,"1,267",89,821,323,893,311,"564,553"
september,2019,12,"200,508","217,050","78,789",933,"1,183",133,"1,368",543,"1,208",569,"502,284"
october ,2019,1,"195,948","238,219","87,652",980,"1,395",165,"1,312",596,"1,431",638,"528,336"
october ,2019,2,"201,813","157,972","140,641",923,"1,435",171,"1,504",588,"1,369",741,"507,157"
october ,2019,3,"213,616","163,526","152,980",908,"1,453",127,"1,288",522,"1,209",573,"536,202"
october ,2019,4,"227,680","139,384","161,065",877,"1,326",140,"1,126",508,"1,211",523,"533,840"
october ,2019,5,"217,310","162,328","156,417",855,"1,332",101,957,410,"1,056",384,"541,150"
october ,2019,6,"195,028","189,607","77,918",919,"1,291",167,"1,536",601,"1,291",648,"469,006"
october ,2019,7,"216,250","165,379","168,383",760,"1,405",80,966,324,900,341,"554,788"
october ,2019,8,"143,243","219,985","37,623",759,"1,155",189,"1,317",497,"1,115",604,"406,487"
october ,2019,9,"184,208","200,805","67,033",888,"1,237",202,"1,282",603,"1,553",637,"458,448"
october ,2019,10,"166,787","280,624","27,412",811,868,210,"1,525",598,"1,157",634,"480,626"
october ,2019,11,"214,877","172,219","174,915",734,"1,305",94,861,331,933,333,"566,602"
october ,2019,12,"201,280","217,889","79,063",947,"1,216",137,"1,395",567,"1,243",580,"504,317"
november,2019,1,"196,900","238,763","87,971","1,001","1,442",173,"1,378",604,"1,468",664,"530,364"
november,2019,2,"203,313","158,306","141,036",934,"1,471",179,"1,540",605,"1,409",752,"509,545"
november,2019,3,"215,123","164,132","153,567",927,"1,493",130,"1,329",542,"1,250",584,"539,077"
november,2019,4,"228,395","139,656","161,342",890,"1,359",138,"1,163",525,"1,220",531,"535,219"
november,2019,5,"217,759","162,543","156,229",875,"1,358",103,985,420,"1,080",382,"541,734"
november,2019,6,"196,304","190,354","78,381",942,"1,316",171,"1,585",626,"1,336",667,"471,682"
november,2019,7,"217,364","166,064","168,555",775,"1,431",78,975,332,917,360,"556,851"
november,2019,8,"145,056","221,453","38,158",799,"1,212",200,"1,378",532,"1,169",627,"410,584"
november,2019,9,"179,387","198,594","66,707",907,"1,259",205,"1,311",624,"1,581",640,"451,215"
november,2019,10,"168,119","282,310","27,652",829,901,214,"1,622",630,"1,226",670,"484,173"
november,2019,11,"213,944","172,548","174,693",750,"1,324",97,893,353,965,352,"565,919"
november,2019,12,"202,390","218,669","79,330",977,"1,250",145,"1,444",586,"1,274",611,"506,676"
december,2019,1,"197,186","239,100","88,191","1,012","1,463",178,"1,418",619,"1,493",681,"531,341"
december,2019,2,"203,296","158,297","141,062",937,"1,477",177,"1,544",609,"1,413",760,"509,572"
december,2019,3,"215,569","164,644","153,763",940,"1,508",132,"1,349",547,"1,271",589,"540,312"
december,2019,4,"228,566","139,796","161,619",904,"1,379",141,"1,170",536,"1,236",537,"535,884"
december,2019,5,"217,587","162,387","156,104",876,"1,361",103,986,421,"1,083",382,"541,290"
december,2019,6,"196,518","190,480","78,493",949,"1,331",171,"1,602",633,"1,345",670,"472,192"
december,2019,7,"217,587","166,279","168,592",776,"1,437",78,979,336,920,360,"557,344"
december,2019,8,"145,676","221,914","38,290",816,"1,228",205,"1,395",538,"1,196",632,"411,890"
december,2019,9,"179,388","198,795","66,713",915,"1,264",206,"1,312",628,"1,608",649,"451,478"
december,2019,10,"168,384","282,634","27,713",835,902,218,"1,646",636,"1,244",683,"484,895"
december,2019,11,"213,903","172,628","174,658",751,"1,331",98,898,358,972,354,"565,951"
december,2019,12,"202,504","218,899","79,352",989,"1,258",145,"1,449",597,"1,284",623,"507,100"
january,2018,1,"197,312","224,438","81,445",501,806,67,502,233,700,287,"506,291"
january,2018,2,"205,807","147,789","131,975",502,831,76,634,256,632,322,"488,824"
january,2018,3,"219,986","155,296","143,595",511,815,63,578,211,601,259,"521,915"
january,2018,4,"231,723","132,045","149,570",526,746,67,561,232,640,233,"516,343"
january,2018,5,"213,701","147,926","147,185",462,784,42,380,186,592,195,"511,453"
january,2018,6,"196,087","174,544","70,239",486,735,75,644,260,609,308,"443,987"
january,2018,7,"215,486","148,860","160,837",412,886,49,428,159,455,157,"527,729"
january,2018,8,"135,337","202,536","32,921",414,620,107,616,200,427,256,"373,434"
january,2018,9,"181,696","182,377","61,388",458,642,103,517,248,751,255,"428,435"
january,2018,10,"159,833","256,587","24,049",405,440,84,654,213,449,247,"442,961"
january,2018,11,"214,647","157,066","167,916",413,774,39,354,151,453,146,"541,959"
january,2018,12,"194,696","198,082","72,466",524,643,44,595,213,575,240,"468,078"
february ,2018,1,"197,437","224,497","81,489",514,824,68,526,245,709,290,"506,599"
february ,2018,2,"205,792","147,898","131,975",514,834,81,648,272,644,333,"488,991"
february ,2018,3,"220,135","155,470","143,683",526,831,62,589,215,618,268,"522,397"
february ,2018,4,"231,731","132,161","149,746",530,754,68,578,233,655,238,"516,694"
february ,2018,5,"214,063","148,244","147,309",472,796,43,388,191,608,200,"512,314"
february ,2018,6,"196,137","174,637","70,307",487,742,75,655,263,623,314,"444,240"
february ,2018,7,"215,763","149,049","160,885",419,897,50,432,164,463,164,"528,286"
february ,2018,8,"135,556","202,699","32,973",420,639,110,628,204,446,264,"373,939"
february ,2018,9,"181,956","182,863","61,527",472,667,106,545,258,792,264,"429,450"
february ,2018,10,"160,131","256,995","24,129",418,445,87,670,221,463,251,"443,810"
february ,2018,11,"214,883","157,376","167,935",420,788,40,368,161,471,157,"542,599"
february ,2018,12,"195,024","198,561","72,603",529,657,47,613,224,586,243,"469,087"
march,2018,1,"197,431","224,539","81,615",533,844,72,546,252,729,300,"506,861"
march,2018,2,"205,952","148,157","132,172",543,859,79,689,287,663,356,"489,757"
march,2018,3,"220,345","155,624","143,835",539,850,64,614,223,645,272,"523,011"
march,2018,4,"231,837","132,273","149,927",539,781,70,594,241,679,255,"517,196"
march,2018,5,"214,718","149,060","147,765",491,834,47,417,204,636,214,"514,386"
march,2018,6,"196,496","175,227","70,524",511,770,80,715,279,644,329,"445,575"
march,2018,7,"215,974","149,388","160,933",424,915,48,442,169,475,162,"528,930"
march,2018,8,"136,052","203,181","33,129",436,663,113,661,210,478,287,"375,210"
march,2018,9,"182,253","183,473","61,728",487,687,114,573,271,822,276,"430,684"
march,2018,10,"160,617","257,833","24,302",450,472,96,719,243,504,273,"445,509"
march,2018,11,"215,174","157,729","167,950",437,814,45,384,167,488,161,"543,349"
march,2018,12,"195,511","199,044","72,773",546,684,48,639,237,608,254,"470,344"
april ,2018,1,"197,541","224,667","81,686",552,865,72,567,260,756,305,"507,271"
april ,2018,2,"206,177","148,320","132,294",559,871,86,720,294,685,365,"490,371"
april ,2018,3,"220,246","155,675","143,770",562,875,67,634,232,676,277,"523,014"
april ,2018,4,"231,958","132,358","149,978",552,793,73,617,255,696,266,"517,546"
april ,2018,5,"215,014","149,275","147,860",501,857,47,427,210,653,219,"515,063"
april ,2018,6,"196,699","175,359","70,665",519,784,84,740,290,660,335,"446,135"
april ,2018,7,"216,334","149,782","160,966",431,935,52,453,175,489,167,"529,784"
april ,2018,8,"136,603","203,509","33,279",449,669,115,683,211,489,303,"376,310"
april ,2018,9,"182,804","184,293","61,901",509,712,117,602,287,875,300,"432,400"
april ,2018,10,"161,019","258,434","24,412",467,482,97,758,246,527,280,"446,722"
april ,2018,11,"215,626","158,223","168,105",454,834,46,412,171,516,168,"544,555"
april ,2018,12,"195,752","199,306","72,824",558,690,49,657,254,630,260,"470,980"
may,2018,1,"197,755","224,933","81,800",571,894,74,605,278,787,322,"508,019"
may,2018,2,"206,212","148,534","132,479",577,901,85,754,308,693,378,"490,921"
may,2018,3,"220,385","155,684","143,631",574,896,69,652,239,699,287,"523,116"
may,2018,4,"232,336","132,736","150,307",562,819,75,644,264,717,285,"518,745"
may,2018,5,"215,355","149,495","147,910",515,878,51,447,216,666,225,"515,758"
may,2018,6,"196,835","175,781","70,918",533,800,90,778,307,685,346,"447,073"
may,2018,7,"216,954","150,216","161,028",445,940,54,463,182,505,174,"530,961"
may,2018,8,"137,650","204,215","33,451",454,688,115,716,227,501,317,"378,334"
may,2018,9,"183,509","184,742","61,917",519,734,118,617,296,893,316,"433,661"
may,2018,10,"161,916","259,093","24,500",483,498,99,788,255,551,286,"448,469"
may,2018,11,"216,164","158,666","168,247",464,847,47,428,173,531,180,"545,747"
may,2018,12,"196,487","199,949","73,042",569,714,53,693,272,646,266,"472,691"
june ,2018,1,"198,114","225,159","81,875",584,910,79,624,285,815,327,"508,772"
june ,2018,2,"206,907","148,867","132,673",590,927,93,787,316,717,399,"492,276"
june ,2018,3,"220,704","155,815","143,848",592,918,72,674,246,717,292,"523,878"
june ,2018,4,"233,280","132,921","150,506",583,837,73,658,270,734,292,"520,154"
june ,2018,5,"215,765","149,731","148,078",528,887,52,466,216,686,230,"516,639"
june ,2018,6,"197,311","175,969","71,165",533,808,91,793,305,695,349,"448,019"
june ,2018,7,"217,760","150,681","161,246",456,953,53,469,189,518,183,"532,508"
june ,2018,8,"138,138","204,724","33,566",464,696,114,729,235,520,316,"379,502"
june ,2018,9,"183,833","185,376","62,118",539,757,119,644,307,921,327,"434,941"
june ,2018,10,"162,488","259,694","24,545",492,510,104,818,260,561,289,"449,761"
june ,2018,11,"216,907","159,194","168,469",473,870,48,431,173,547,183,"547,295"
june ,2018,12,"197,136","200,434","73,175",573,731,54,700,280,660,272,"474,015"
july,2018,1,"194,892","227,770","82,830",600,915,81,646,302,827,339,"509,202"
july,2018,2,"204,356","150,584","133,830",598,942,94,807,318,736,412,"492,677"
july,2018,3,"217,403","157,736","145,377",581,931,70,680,247,728,295,"524,048"
july,2018,4,"228,882","135,242","153,103",590,844,75,669,280,740,299,"520,724"
july,2018,5,"212,038","152,227","150,183",527,899,55,475,220,695,230,"517,549"
july,2018,6,"194,346","178,164","72,441",547,818,92,810,316,696,354,"448,584"
july,2018,7,"213,145","153,875","163,174",464,964,52,475,190,525,188,"533,052"
july,2018,8,"135,655","207,627","34,002",466,706,118,746,238,537,320,"380,415"
july,2018,9,"180,854","188,392","63,093",544,774,124,666,322,937,342,"436,048"
july,2018,10,"159,870","262,604","24,804",498,520,105,842,268,569,300,"450,380"
july,2018,11,"212,157","161,819","170,813",475,874,49,437,177,546,184,"547,531"
july,2018,12,"194,511","202,967","74,127",575,749,56,715,282,669,278,"474,929"
august,2018,1,"194,450","228,874","83,268",610,944,82,673,320,862,345,"510,428"
august,2018,2,"203,548","151,249","134,669",605,957,99,825,326,765,417,"493,460"
august,2018,3,"217,097","158,170","146,031",592,960,71,706,252,746,309,"524,934"
august,2018,4,"229,164","135,425","153,475",602,872,75,692,286,762,298,"521,651"
august,2018,5,"212,795","153,103","150,639",542,929,58,500,235,716,237,"519,754"
august,2018,6,"194,220","177,942","72,464",553,837,95,846,327,712,360,"448,356"
august,2018,7,"212,692","155,278","163,587",487,977,56,495,197,548,193,"534,510"
august,2018,8,"135,422","208,421","34,147",479,725,122,780,250,556,327,"381,229"
august,2018,9,"180,779","189,238","63,254",554,798,126,693,328,950,349,"437,069"
august,2018,10,"159,864","263,499","24,967",513,526,107,866,284,584,309,"451,519"
august,2018,11,"211,441","163,303","171,643",488,892,51,460,185,557,191,"549,211"
august,2018,12,"194,706","203,426","74,162",594,757,58,752,297,689,294,"475,735"
september ,2018,1,"195,014","229,332","83,494",626,970,85,714,335,880,362,"511,812"
september ,2018,2,"203,496","152,067","135,306",609,977,110,862,332,799,429,"494,987"
september,2018,3,"217,499","158,511","146,541",604,995,70,738,264,775,330,"526,327"
september,2018,4,"229,753","135,773","154,010",617,906,82,712,313,783,305,"523,254"
september,2018,5,"213,392","153,461","150,790",552,962,60,526,249,730,248,"520,970"
september,2018,6,"194,541","178,649","72,841",571,882,102,894,353,753,385,"449,971"
september,2018,7,"213,755","156,037","163,840",508,"1,006",56,518,200,571,201,"536,692"
september,2018,8,"136,064","208,705","34,311",491,748,129,808,265,572,342,"382,435"
september,2018,9,"181,083","189,766","63,468",577,824,130,717,354,983,358,"438,260"
september,2018,10,"160,560","264,032","25,064",525,545,116,891,291,609,319,"452,952"
september,2018,11,"212,387","163,983","171,869",496,914,52,481,193,577,196,"551,148"
september,2018,12,"195,655","204,615","74,547",621,803,67,807,319,719,322,"478,475"
october ,2018,1,"195,341","229,528","83,608",635,991,89,736,345,899,376,"512,548"
october ,2018,2,"203,953","152,169","135,514",624,983,109,864,342,819,438,"495,815"
october ,2018,3,"218,389","158,958","146,900",628,"1,026",73,771,278,813,335,"528,171"
october ,2018,4,"230,159","135,819","154,158",627,922,85,726,318,793,318,"523,925"
october ,2018,5,"214,243","153,803","150,788",559,984,63,556,250,739,246,"522,231"
october ,2018,6,"195,164","178,932","73,008",576,907,103,918,362,768,400,"451,138"
october ,2018,7,"214,543","156,467","163,915",523,"1,029",57,528,201,568,208,"538,039"
october ,2018,8,"136,853","209,140","34,546",504,763,132,822,269,585,356,"383,970"
october ,2018,9,"181,607","190,068","63,587",583,840,137,740,356,"1,009",379,"439,306"
october ,2018,10,"161,378","264,782","25,247",534,552,120,915,304,624,321,"454,777"
october ,2018,11,"213,174","164,552","171,842",508,918,51,506,197,578,199,"552,525"
october ,2018,12,"196,242","205,104","74,678",629,819,69,841,325,735,336,"479,778"
november,2018,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
november,2018,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
november,2018,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
november,2018,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
november,2018,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
november,2018,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
november,2018,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
november,2018,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
november,2018,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
november,2018,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
november,2018,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
november,2018,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
december,2018,1,"197,585","231,287","84,460",687,"1,056",94,815,365,939,397,"517,685"
december,2018,2,"206,016","152,978","136,421",645,"1,027",114,934,361,869,471,"499,836"
december,2018,3,"220,948","160,349","147,992",642,"1,073",77,802,306,848,345,"533,382"
december,2018,4,"232,964","137,016","155,317",648,972,92,768,329,844,340,"529,290"
december,2018,5,"216,422","154,683","151,019",566,"1,004",64,563,256,741,250,"525,568"
december,2018,6,"198,427","180,581","73,769",604,937,107,972,375,812,421,"457,005"
december,2018,7,"216,904","157,813","164,383",528,"1,057",55,538,202,577,214,"542,271"
december,2018,8,"140,812","211,489","34,944",515,790,134,854,281,603,367,"390,789"
december,2018,9,"184,232","191,099","63,830",594,855,135,763,361,"1,018",399,"443,286"
december,2018,10,"165,699","266,741","25,427",541,575,123,942,311,639,332,"461,330"
december,2018,11,"215,971","166,284","172,330",512,949,52,515,195,591,200,"557,599"
december,2018,12,"198,988","206,638","75,142",640,847,71,868,341,761,343,"484,639"
